0,5992,4634,3447,1823,856,5436,3469,3110,4535,6443
1,10708,5889,567,3493,3762,4212,10919,11012,8298,7920
2,8278,3767,5778,3493,6343,11241,209,7354,7285,6993
3,3922,1088,9346,1037,9144,10163,5626,7403,11898,6312
4,8690,3543,6998,2676,1405,11545,11982,536,7479,10184
5,668,9111,10953,7055,7069,1769,6856,4717,11395,3873
6,536,8883,9983,44,6349,12172,8265,7793,6880,5900
7,3238,6771,5063,1804,4836,11227,7841,10767,5999,3678
8,4384,2509,5524,11340,5231,10528,4124,3540,1812,1990
9,11951,2393,9925,10919,3799,6507,10994,9693,7896,7291
10,4373,10296,2811,6815,5205,7030,3853,5674,3225,114
11,8742,11735,10698,7982,8019,5081,1797,1966,1065,1990
12,1139,12173,6856,2152,6384,6130,8094,6986,1945,3007
13,12291,11511,5002,9245,4303,4717,2740,726,4679,7815
14,1878,8019,6387,82,10266,2695,10698,7657,8422,355
15,8254,7303,8401,4361,9246,9572,9919,8371,1631,11510
16,76,9176,7331,2112,3443,5634,4844,241,8510,6761
17,8131,6311,10364,6492,4141,5622,1246,6476,9228,6897
18,2156,2710,2529,4366,3238,10612,7528,2581,4198,8846
19,2052,2997,1760,5122,12018,4947,5504,739,7434,8347
20,4433,8930,3582,779,2728,4522,7708,4588,3670,9502
21,7952,9861,5524,10991,6497,2280,10489,1383,11815,5304
22,3670,9572,11718,9648,9904,4667,1020,1262,6939,3261
23,303,8589,9045,2723,4086,2717,11908,8855,5977,11082
24,7004,8064,12173,3734,1404,6661,2675,9550,818,9601
25,7997,2221,9286,11793,10015,2002,4800,7984,3634,10338
26,11927,7438,5539,12188,4850,7221,11427,82,7550,90
27,368,4728,4450,8031,6425,9267,6878,3625,10614,1306
28,10260,3826,6354,2320,5719,90,1210,9941,2447,920
29,11981,3618,4706,8348,1633,12072,6042,1841,9303,7346
30,3573,5022,7525,195,6315,404,2958,9277,2253,1124
31,567,3678,9403,7590,2,8105,6393,4772,6459,10410
32,8958,4656,9450,4807,2749,10663,1026,2416,4854,2745
33,3391,102,6029,9341,8938,11560,9415,11857,7788,6811
34,10693,5029,11719,12167,6056,3775,244,4929,2749,4935
35,3350,3668,2122,3767,11822,6943,6723,3430,6257,5119
36,2405,5652,2206,847,4629,10272,3317,8348,4272,10560
37,567,9272,5457,5597,11376,2525,11156,9648,1935,13265
38,8924,5675,2783,8930,6812,2454,11833,11241,3610,8489
39,9983,5587,11044,11709,9554,745,2352,3348,11899,3296
40,9613,10698,5292,10708,4438,9554,4743,11929,10094,1209
41,5292,9458,5544,7795,865,1478,12247,3587,1584,10163
42,11332,9161,7357,4922,9744,9266,1722,12106,2864,10312
43,5455,1095,5904,12282,6320,8726,9754,9214,8421,3670
44,6998,5883,11773,12306,4331,9855,8824,5894,190,5081
45,5219,11301,11857,9093,1139,4407,3390,3160,1,6140
46,3132,3800,12124,1746,12200,11829,4232,3493,11728,12245
47,4772,6090,1593,9345,3514,6662,2606,6897,4212,4831
48,9778,4767,5455,1145,7765,8876,7708,2712,1524,4108
49,5346,8105,8958,11931,2874,3082,10462,10600,9466,6044
50,7039,6707,1631,3764,12315,465,6075,9648,7932,9480
51,2880,2372,3678,12305,8846,2380,3866,9272,880,4340
52,969,3715,11727,2183,3370,4788,2923,12298,10562,1092
53,8333,6135,2819,11920,11055,1918,1478,6658,7152,6782
54,6066,2642,9666,2274,7219,23,6498,8625,113,536
55,1235,9458,11735,8661,10439,6878,8281,7381,12173,3796
56,1352,5456,4588,7039,10090,4723,8387,4438,11139,5979
57,11021,3442,7106,5934,3687,10691,1567,1702,11902,4246
58,9450,2242,10980,4461,11559,7564,9198,3633,1595,1208
59,8254,9458,6952,6915,2424,8528,4201,10052,2332,3129
60,2601,10097,11496,6483,2809,9315,11314,907,5462,8102
61,8710,5462,12266,9546,7515,7511,11476,12292,4800,2900
62,8295,4676,6191,11898,6140,7469,9315,984,5273,8641
63,4749,2676,303,10901,1381,11849,11728,9634,11920,2603
64,6908,6463,751,11225,2653,5156,11376,10516,10297,7414
65,4807,5674,7331,2326,3062,5229,6042,4502,10090,10493
66,3014,3337,8930,8783,5847,9632,510,11290,9361,4538
67,779,8293,421,9992,3250,10874,5462,7504,9905,2579
68,10413,5612,9534,7564,6488,7731,2731,10047,10489,11619
69,6863,3187,11688,11254,9789,6689,2363,6659,1091,7373
70,10439,8064,6206,2750,9816,9916,10881,8775,1219,11113
71,4081,9485,2749,368,7867,9198,11829,7367,4522,7687
72,3549,9925,101,12246,8486,8789,4453,3469,509,8324
73,11091,1762,4789,8564,10439,5416,7896,1124,3442,9151
74,11135,9572,9162,3618,11931,10580,6548,6897,5385,1021
75,9643,2052,8742,5129,5651,347,7190,1352,10312,6353
76,227,5328,4502,7625,10066,1925,2307,8153,4921,8234
77,8016,2171,1972,6463,5456,5904,5381,10693,10021,1505
78,687,879,3987,8589,5122,4767,11464,7428,10260,697
79,6206,10042,5274,8820,7434,301,6457,10972,7151,2078
80,1060,1326,11253,9198,6749,10742,6974,8076,8668,9968
81,1209,3238,3493,6778,11012,1002,4787,6425,6217,3333
82,4212,9784,5622,6272,11950,4800,4067,8056,6559,1441
83,1239,6789,5456,10285,8669,3762,11459,4374,3084,2588
84,10296,7062,6157,8333,959,10498,10553,3225,10431,10137
85,1858,4807,10698,9775,10580,165,5134,5654,5625,7858
86,4169,10809,9940,6946,8982,6172,11102,6461,4490,9009
87,1650,2052,11708,4997,2764,11579,9316,1079,9593,9397
88,11001,8052,8933,7877,9927,2263,2913,6901,1439,10904
89,2356,4656,8742,4201,244,8477,11733,11511,2989,4694
90,9808,3326,10919,3344,2505,7538,704,2723,941,9443
91,11902,782,668,4064,10742,337,1012,114,8589,6029
92,8774,9902,3163,7189,10946,7621,9876,8615,2488,6133
93,4559,5017,4894,3137,4925,147,750,12112,5654,10173
94,687,1317,10489,11132,8965,2498,6604,8860,9245,5304
95,6965,10355,3252,326,2372,3582,7636,6675,11837,3540
96,6638,10022,4629,1280,12093,3149,2122,2140,5855,2000
97,2351,8695,694,4762,11649,1960,2358,2214,4999,8835
98,2619,8800,2405,1719,4826,6294,3317,12319,2543,7486
99,6943,5719,114,3428,3866,1301,12090,2442,4482,7988
100,11185,3006,4169,5267,4407,12211,8113,4322,6484,12146
101,3965,2036,4433,3247,4300,4108,6925,1945,9466,3591
102,911,8690,1047,9173,3813,7031,2725,11610,8924,514
103,8729,6157,8891,9466,8387,4552,9668,11892,3050,6516
104,1179,5691,7115,314,6863,11601,5148,10935,10317,907
105,8324,7796,7150,832,5701,6665,4737,3587,1711,5883
106,3167,6101,7331,6812,121,11001,5784,7796,9504,7632
107,9458,7621,4894,10876,11688,7428,6101,1488,8774,5231
108,11899,10429,5029,1198,7618,90,11824,1852,8280,11540
109,4384,12305,7896,2112,2877,847,11082,10977,8219,378
110,4119,11747,11951,4723,8225,6511,7211,1997,7739,3782
111,7843,6998,7069,2211,572,4722,10750,9759,5147,807
112,4914,9978,1076,5728,3384,2985,9477,1520,11993,5123
113,11931,3874,4517,4595,11833,3164,7908,10980,6268,2274
114,4728,7845,9196,3633,7479,11012,4397,7151,1771,7508
115,7206,5889,11863,9993,11199,9784,9828,1508,7468,2994
116,7004,1135,8747,2003,10687,8219,6797,209,11164,4607
117,1317,9827,3317,10824,1798,10555,8325,3876,7802,1824
118,11720,11931,7303,1792,1623,2777,7264,11298,10097,7206
119,6784,1633,6569,9403,7628,7887,8137,6743,9674,169
120,9983,7062,5948,6157,9861,228,1256,1401,5534,10747
121,11434,10067,3142,3031,10337,11829,11931,6055,9012,9231
