0,8675,10663,4692,4753,11319,1318,756,280,1495,2695
1,11960,8605,11629,3145,3153,10181,11197,6073,9633,1654
2,11016,8977,10221,10218,8101,1590,12679,4098,61,10924
3,4977,9625,9623,10388,11104,4077,10167,10436,11506,9279
4,4398,8634,9231,9378,5611,3647,3885,9718,4030,1934
5,7055,3957,9090,3145,10472,5968,1048,7295,8582,8720
6,7733,2846,10960,10974,6941,2249,10378,6042,11756,3508
7,6776,8415,3055,8089,8983,6143,10105,3295,1315,1705
8,9595,4843,5580,5524,8227,12144,9857,284,11153,11054
9,7275,476,1549,5112,9758,11951,7891,9551,6830,5454
10,2250,2245,702,6209,2893,98,5205,5459,8898,4044
11,11735,7878,4088,1828,11730,5876,1544,6996,2924,4989
12,10266,5215,8407,6986,4681,10142,6919,9959,10594,4695
13,1188,1705,3141,395,718,7815,1233,8855,3222,3966
14,5811,10273,9940,5260,8422,2677,594,599,8826,8455
15,4956,9550,12042,1544,8500,9872,837,8992,4952,1214
16,6761,9176,9823,8995,4520,4046,6137,5250,9137,12004
17,5257,10223,6673,10263,1246,9230,10872,5573,587,2248
18,4100,12034,2238,10605,11361,645,9805,3205,4198,1656
19,8986,7727,3048,6973,595,3728,8438,8572,9869,5425
20,3059,7593,5912,8825,10072,9472,1983,9257,9555,1149
21,13265,1590,2904,8799,9550,9928,10920,10388,10752,5524
22,12017,3728,427,4667,2117,9709,9561,660,9558,7203
23,1301,6139,10450,13553,10623,4086,10166,6669,4695,8332
24,7253,144,11327,5039,753,11017,9550,8634,9517,7515
25,10165,6150,8794,447,7984,12122,9086,9237,580,7716
26,5628,9081,6698,6940,9237,7221,7438,90,1121,5325
27,5096,10614,8031,9823,7121,2925,4929,2229,9034,6878
28,10122,9941,682,87,4979,920,4404,10260,10925,2237
29,8794,8806,1633,4348,4706,5946,8786,9221,5703,9189
30,270,11998,5022,10388,6975,11862,2131,8090,6840,4044
31,9720,1298,9535,8967,2677,8105,8185,9565,7590,2237
32,9894,9025,7093,487,8224,8958,4656,9790,9450,180
33,7054,3391,10605,1134,10389,4593,9216,10783,11763,6811
34,4398,6147,10130,7057,561,6818,8403,3013,12008,4046
35,10611,3767,40,7418,6943,9788,1787,4946,6992,10125
36,1560,304,11594,1249,5389,7394,7757,2206,11007,12144
37,1898,13265,9090,10271,4020,9272,7232,7292,414,5457
38,5706,10733,8124,8924,8930,9081,5701,6013,10949,8030
39,617,8193,1089,11363,8629,10166,7594,745,386,11443
40,393,6818,1323,11929,1776,1695,10134,6160,596,8690
41,7631,5706,1168,5010,1237,7097,5976,1584,10487,2239
42,9280,10971,11239,4922,5411,10199,1722,2319,5216,4702
43,7100,8726,5928,7591,7984,7769,6698,8847,8628,6320
44,8139,4331,5928,10871,11774,8824,9704,7760,8931,9469
45,5583,4514,6660,9086,6044,9758,2239,1175,8226,10609
46,67,1442,8925,4976,1137,4966,2298,11307,3836,4046
47,10072,7254,1237,10365,6240,1338,9886,7348,976,10623
48,6259,6867,5040,9390,11952,11022,809,4108,1482,3723
49,7650,3279,6044,6672,8410,8958,8105,11998,7485,5428
50,5127,4178,1298,7932,10746,12315,3479,1170,7931,6075
51,2701,7295,12092,9437,12041,9090,2380,9272,3581,4344
52,13262,4784,11762,2865,3059,7769,3288,5340,8572,7990
53,7270,1347,10736,7445,9823,11920,7579,7096,2987,8124
54,9634,7735,9719,10443,11254,3352,9524,11428,9022,23
55,10611,7250,4843,9255,3928,1235,8538,4104,8661,1983
56,6719,4332,5113,4614,2379,3055,5456,7818,3691,3071
57,9799,1299,11021,10230,7279,9025,10793,8991,7115,9109
